Caribou ID,Date,Step length,Turning angle,dx,dy
C1,2012-01-24 12:04,1963.525555,-1.957069461,1857.037333,-637.8439845
C1,2012-01-25 12:04,2478.724467,2.427582242,-1244.377562,2143.734934
C1,2012-01-26 12:04,609.1223493,2.204452756,-243.4738166,-558.3462519
C1,2012-01-27 12:04,216.9558226,-2.304572784,-89.61678777,197.5820344
C1,2012-01-28 12:04,916.7749179,-2.505261036,800.7146205,-446.4665122
C1,2012-01-29 12:03,1654.651676,-1.688766298,-970.3020323,-1340.293302
C1,2012-01-30 12:04,1131.211819,-1.412743273,-1009.286745,510.8624535
C1,2012-01-31 12:04,1181.044518,-1.228882535,149.1810678,1171.584894
C1,2012-02-01 12:04,2138.433312,0.73712179,-1225.863655,1752.185872
C1,2012-02-02 12:03,2929.248226,1.323892389,-2737.776199,-1041.670127
C1,2012-02-03 12:04,643.6500885,-1.852250085,-52.79263501,641.4813903
C1,2012-02-04 12:04,2865.974716,-2.186296044,2467.862175,-1457.212188
C1,2012-02-06 12:07,831.2752157,-0.940652905,80.30597061,-827.3871134
C1,2012-02-07 12:04,2160.874433,-2.623562838,-1246.358024,1765.211033
C1,2012-02-08 12:04,1796.582999,0.090429702,-1164.542323,1368.046656
C1,2012-02-09 12:04,3349.705318,-1.627492588,2669.643641,2023.247031
C1,2012-02-13 12:07,1265.175745,-1.705209224,622.1596537,-1101.629262
C1,2012-02-14 12:04,1080.708562,2.300905776,346.6972995,1023.587798
C1,2012-02-15 12:03,282.9014217,2.524321177,-229.100242,-165.970761
C1,2012-02-16 12:04,1177.663273,-1.516214823,-741.9034243,914.5873904
C1,2012-02-17 12:04,135.8759524,1.632120643,-100.0785218,-91.90518986
C1,2012-02-18 12:04,1638.407794,1.989489419,1503.105713,-651.9611305
C1,2012-02-19 12:03,1059.211968,-2.926981411,-1039.21101,204.8669604
C1,2012-02-20 12:04,651.6484053,-1.01493893,-230.3005114,609.5960291
C1,2012-02-21 12:04,2937.534449,3.085895779,883.5765941,-2801.499784
C1,2012-02-22 12:04,1414.371,0.113409383,575.3407309,-1292.063609
C1,2012-02-23 12:04,265.0654035,-2.45945191,-236.356688,119.9799323
C1,2012-02-24 12:04,205.1526887,0.895272541,-186.8558594,-84.69069302
C1,2012-02-25 12:04,133.0898692,2.066438259,105.9821962,-80.50271652
C1,2012-02-26 12:04,145.0818558,0.840105013,142.4573807,27.47070356
C1,2012-02-27 12:04,324.4296036,-2.478205345,-213.1698772,-244.5673141
C1,2012-02-28 12:04,1143.232876,2.842617607,971.6892063,602.3300552
C1,2012-02-29 12:04,998.0006633,-1.104787938,850.8829536,-521.5395701
C1,2012-03-01 12:04,2112.2355,-2.908690017,-2007.008351,658.3739707
C1,2012-03-02 12:04,939.7726891,-0.5291994,-622.9293638,703.6559634
C1,2012-03-03 12:04,704.6136635,-1.177348519,308.2125549,633.6287839
C1,2012-03-04 12:03,496.1633508,-2.152261194,253.6483809,-426.4276838
C1,2012-03-05 12:03,530.7095726,0.535161381,465.9875873,-253.9846823
C1,2012-03-06 12:04,1962.806341,-1.720927206,-1186.554968,-1563.552378
C1,2012-03-07 12:03,599.6498542,1.867825088,562.8546506,-206.8201875
C1,2012-03-08 12:03,468.0761806,0.607678992,452.8757179,118.3169263
C1,2012-03-09 12:03,1375.462877,-0.672682497,1257.520284,-557.2619317
C1,2012-03-10 12:04,776.0046817,0.900365172,687.1519963,360.5626161
C1,2012-03-11 12:03,2463.782415,-1.255824299,1764.31628,-1719.712724
C1,2012-03-12 12:03,1771.869154,-2.990428734,-1440.609712,1031.583228
C1,2012-03-13 12:04,131.8472467,0.541109243,-131.422146,10.57903596
C1,2012-03-14 12:04,145.1757874,-2.238972781,98.79798255,106.3718379
C1,2012-03-15 12:04,2005.420641,-1.41086111,1667.985351,-1113.344877
C1,2012-03-16 12:03,1660.210497,-2.550600843,-1660.205607,-4.02960036
C1,2012-03-19 12:07,859.0217594,3.107385431,858.5880019,-27.29516592
C1,2012-03-20 12:03,1666.688589,1.761791263,-264.2419166,1645.608417
C1,2012-03-21 12:04,2095.056478,1.011450286,-1929.567777,816.1065126
C1,2012-03-23 12:03,711.9752706,3.05700704,629.9606716,-331.7504155
C1,2012-03-24 12:04,1598.675352,-0.881337365,325.0342616,-1565.284514
C1,2012-03-25 12:04,543.5034541,-2.956902116,-206.3485192,502.8084061
C1,2012-03-26 12:04,227.763736,-0.804427747,91.83100732,208.4307691
C1,2012-03-27 12:04,632.7324717,-2.134048484,353.3667878,-524.864072
C1,2012-03-28 12:04,984.9451915,-0.640382933,-47.09569206,-983.8185941
C1,2012-03-29 12:04,3114.661007,-1.507175725,-3114.272892,-49.16854107
C1,2012-03-30 12:04,1173.199338,0.339543111,-1099.911638,-408.1557001
C1,2012-04-01 12:04,4875.707762,-3.057267303,4412.020348,2075.23556
C1,2012-04-02 12:04,665.9845833,0.188186968,538.9792291,391.1992533
C1,2012-04-03 12:04,12022.42748,3.05952645,-10275.86595,-6240.620284
C1,2012-04-04 12:05,263.2677778,0.889295953,-35.62224093,-260.8466576
C1,2012-04-05 12:03,3309.295906,-1.43685364,-3309.290654,5.895986619
C1,2012-04-07 12:07,2155.349561,1.395370056,-379.9491247,-2121.59619
C1,2012-04-08 12:05,3095.083178,-2.8553853,-336.6946987,3076.715222
C1,2012-04-10 12:05,5079.450379,-1.905263476,4950.887719,-1135.573401
C1,2012-04-11 12:04,3935.86004,-1.135607982,819.3935698,-3849.621855
C1,2012-04-12 12:04,4036.267501,-1.38659179,-3727.128296,-1549.183659
C1,2012-04-13 12:03,2752.143409,2.885912722,2725.886134,379.2599729
C1,2012-04-15 12:00,1610.757204,0.778010983,980.6200611,1277.858781
C1,2012-04-16 12:00,682.0055515,1.855938936,-636.0009021,246.2405831
C1,2012-04-17 12:00,1979.008986,0.580043607,-1935.265015,-413.794499
C1,2012-04-18 12:00,1204.151704,0.760759074,-679.3099685,-994.2430749
C1,2012-04-19 12:01,923.0565889,-0.402603384,-777.7185199,-497.1794143
C1,2012-04-21 12:01,5124.623739,0.677557945,-1633.600959,-4857.274583
C1,2012-04-23 12:01,5108.055422,3.134711883,1661.594323,4830.252012
C1,2012-04-24 12:01,536.2202089,-0.037102374,193.115229,500.2385639
C1,2012-04-25 12:00,13186.30981,-0.226539097,7390.592406,10920.52702
C1,2012-04-27 12:00,6052.851307,2.921409233,-4405.40531,-4150.832808
C1,2012-04-28 12:02,3510.011264,0.049125652,-2433.385477,-2529.587751
C1,2012-04-29 12:01,2275.282379,0.323454081,-974.4044648,-2056.07535
C1,2012-04-30 12:00,NA,NA,NA,NA
